,IP,mount
848,1.1.3.183,1.1.132.22:/old_events_archival2
848,1.1.3.183,1.1.132.15:/old_events_archival
848,1.1.3.183,1.1.132.15:/abcd-1
848,1.1.3.183,1.1.132.15:/__vol1
849,1.1.3.188,3.3.11.193:/SAS__STG-CAS
850,1.1.3.24,3.3.11.197:/static_Log_VOL3
850,1.1.3.24,3.3.11.30:/staticLOGS1
850,1.1.3.24,1.1.132.15:/abcd-analytics1
850,1.1.3.24,1.1.132.15:/abcd-analytics3
850,1.1.3.24,1.1.132.15:/abcd-analytics2
851,1.1.3.27,3.3.11.30:/staticLOGS1
852,1.1.3.28,3.3.11.197:/static_Log_VOL3
852,1.1.3.28,3.3.11.30:/staticLOGS1
852,1.1.3.28,1.1.132.15:/abcd-analytics1
852,1.1.3.28,1.1.132.15:/abcd-analytics3
852,1.1.3.28,1.1.132.15:/abcd-analytics2
853,1.1.3.39,3.3.11.30:/staticLOGS1
853,1.1.3.39,3.3.11.197:/static_Log_VOL3
853,1.1.3.39,3.3.11.197:/static_Log_VOL3/cronbackup
853,1.1.3.39,1.1.132.15:/abcd-analytics1
853,1.1.3.39,1.1.132.15:/abcd-analytics3
853,1.1.3.39,1.1.132.15:/abcd-analytics2
853,1.1.3.39,1.2.10.210:/PQRST_VMVol18
854,1.1.3.40,3.3.11.30:/staticLOGS1
854,1.1.3.40,3.3.11.197:/static_Log_VOL3
854,1.1.3.40,3.3.11.197:/static_Log_VOL3/cronbackup
854,1.1.3.40,1.1.132.15:/abcd-analytics1
854,1.1.3.40,1.1.132.15:/abcd-analytics3
854,1.1.3.40,1.1.132.15:/abcd-analytics2
854,1.1.3.40,1.2.10.210:/PQRST_VMVol18
855,1.1.3.41,3.3.11.30:/staticLOGS1
855,1.1.3.41,3.3.11.197:/static_Log_VOL3
855,1.1.3.41,3.3.11.197:/static_Log_VOL3/cronbackup
855,1.1.3.41,1.1.132.15:/abcd-analytics1
855,1.1.3.41,1.1.132.15:/abcd-analytics3
855,1.1.3.41,1.1.132.15:/abcd-analytics2
855,1.1.3.41,1.1.132.15:/abcd-hijkl1
855,1.1.3.41,1.1.132.15:/abcd_Db_Backup_Vol1/var/
855,1.1.3.41,1.2.32.252:/PQRST_VMVol18
855,1.1.3.41,1.1.132.15:/abcd-analytics3
855,1.1.3.41,1.1.132.15:/abcd-analytics1
855,1.1.3.41,1.1.132.15:/abcd-analytics2
856,1.1.3.43,3.3.11.193:/SAS__STG-CAS
856,1.1.3.43,3.3.11.197:/static_Log_VOL3/logbackup_news
857,1.1.3.44,3.3.11.193:/SAS__STG-CAS
858,1.1.3.45,3.3.11.193:/SAS__STG-CAS
859,1.1.3.47,3.3.11.197:/static_Log_VOL3
859,1.1.3.47,3.3.11.197:/static_Log_VOL3/cronbackup
860,1.1.3.48,3.3.11.197:/static_Log_VOL3
860,1.1.3.48,3.3.11.197:/static_Log_VOL3/cronbackup
861,1.1.3.49,3.3.11.197:/static_Log_VOL3
861,1.1.3.49,3.3.11.197:/static_Log_VOL3/cronbackup
862,1.1.3.50,3.3.11.197:/static_Log_VOL3/cronbackup
863,1.1.3.51,3.3.11.197:/static_Log_VOL3/cronbackup
864,1.1.3.52,3.3.11.197:/static_Log_VOL3/cronbackup
865,1.1.3.55,3.3.11.197:/static_Log_VOL3/cronbackup
866,1.1.3.65,3.3.11.30:/staticLOGS1
866,1.1.3.65,3.3.11.197:/static_Log_VOL3
866,1.1.3.65,3.3.11.197:/static_Log_VOL3/cronbackup
866,1.1.3.65,1.1.132.15:/abcd-analytics1
866,1.1.3.65,1.1.132.15:/abcd-analytics3
866,1.1.3.65,1.1.132.15:/abcd-analytics2
867,1.1.3.66,3.3.11.30:/staticLOGS1
867,1.1.3.66,3.3.11.197:/static_Log_VOL3
867,1.1.3.66,3.3.11.197:/static_Log_VOL3/cronbackup
867,1.1.3.66,1.1.132.15:/abcd-analytics1
867,1.1.3.66,1.1.132.15:/abcd-analytics3
867,1.1.3.66,1.1.132.15:/abcd-analytics2
